play_id,user_id,user_age,user_country,subscription_tier,track_id,track_name,artist_name,album_name,album_release_year,genre_primary,genre_secondary,device_type,platform,os_version,city,state_province,country,play_seconds,completed,skips,timestamp
1,U0178,43,UK,Free,T00072,Track A018-4,Artist 18,Album A018-2,2020,Latin Pop,Reggaeton,Mobile,Android,12,Manchester,ENG,UK,157,0,1,2024-10-24 18:28:27
2,U0462,52,India,Premium,T00080,Track A020-4,Artist 20,Album A020-2,2018,Bollywood,Dance,Mobile,iOS,17.5,Mumbai,MH,India,309,1,0,2024-10-18 10:18:39
3,U0140,36,Germany,Premium,T00025,Track A007-1,Artist 7,Album A007-1,2021,Pop,Dance Pop,Desktop,macOS,13.5,Hamburg,HH,Germany,198,1,0,2024-10-28 06:17:25
4,U0419,24,Japan,Premium,T00088,Track A022-4,Artist 22,Album A022-2,2019,Bollywood,Dance,Desktop,macOS,13.5,Tokyo,TK,Japan,236,1,0,2024-10-21 04:14:40
5,U0501,31,USA,Premium,T00022,Track A006-2,Artist 6,Album A006-1,2018,Latin Pop,Reggaeton,Mobile,iOS,17.5,San Francisco,CA,USA,71,0,0,2024-10-28 10:44:10
6,U0300,34,Canada,Student,T00005,Track A002-1,Artist 2,Album A002-1,2019,Bollywood,Dance,Desktop,Windows,10,Toronto,ON,Canada,203,1,0,2024-10-11 21:57:41
7,U0469,20,UK,Premium,T00073,Track A019-1,Artist 19,Album A019-1,2017,Hip-Hop,Pop Rap,Smart Speaker,Alexa,5.3,Edinburgh,SCT,UK,205,1,0,2024-10-25 01:04:54
8,U0587,45,India,Free,T00015,Track A004-3,Artist 4,Album A004-2,2020,Bollywood,Dance,Desktop,Windows,10,Bengaluru,KA,India,263,1,0,2024-10-27 08:45:52
9,U0556,39,Germany,Free,T00006,Track A002-2,Artist 2,Album A002-1,2022,Bollywood,Dance,Smart Speaker,Alexa,5.3,Berlin,BE,Germany,205,1,0,2024-10-22 10:13:45
10,U0105,51,Japan,Free,T00095,Track A024-3,Artist 24,Album A024-2,2023,K-Pop,Pop,Smart Speaker,Alexa,5.3,Osaka,OS,Japan,159,0,1,2024-10-13 00:23:42
11,U0270,37,Brazil,Free,T00045,Track A012-1,Artist 12,Album A012-1,2021,Pop,Dance Pop,Mobile,iOS,17.5,Rio de Janeiro,RJ,Brazil,275,1,0,2024-10-22 07:33:12
12,U0243,29,India,Free,T00027,Track A007-3,Artist 7,Album A007-2,2020,Pop,Dance Pop,Smart Speaker,Alexa,5.3,Hyderabad,TG,India,231,1,0,2024-10-29 12:58:51
13,U0439,27,Japan,Premium,T00022,Track A006-2,Artist 6,Album A006-1,2018,Latin Pop,Reggaeton,Tablet,iOS,17.1,Tokyo,TK,Japan,253,1,0,2024-10-07 18:13:13
14,U0212,18,Germany,Premium,T00008,Track A002-4,Artist 2,Album A002-2,2018,Bollywood,Dance,Tablet,iOS,17.1,Munich,BY,Germany,202,1,0,2024-10-18 00:43:46
15,U0552,51,Germany,Premium Family,T00022,Track A006-2,Artist 6,Album A006-1,2018,Latin Pop,Reggaeton,Desktop,Windows,10,Berlin,BE,Germany,157,0,2,2024-10-15 04:56:38
16,U0098,55,Japan,Student,T00018,Track A005-2,Artist 5,Album A005-1,2021,Bollywood,Dance,Desktop,macOS,13.5,Osaka,OS,Japan,340,1,0,2024-10-03 21:04:23
17,U0130,16,USA,Premium,T00090,Track A023-2,Artist 23,Album A023-1,2024,Latin Pop,Reggaeton,Mobile,Android,12,Chicago,IL,USA,120,0,0,2024-10-13 02:53:42
18,U0403,54,Canada,Premium,T00063,Track A016-3,Artist 16,Album A016-2,2020,Latin Pop,Reggaeton,Mobile,Android,12,Toronto,ON,Canada,220,1,0,2024-10-29 00:44:58
19,U0425,38,UK,Premium,T00049,Track A013-1,Artist 13,Album A013-1,2021,Hip-Hop,Pop Rap,Desktop,macOS,13.5,Manchester,ENG,UK,220,1,0,2024-10-04 15:58:58
